iter,scenario,raster_ms,plan_ms,cycle_ms,W,H,T,RES_M,TIME_RES,num_obs,avg_obs_speed,path_nodes,path_time_s,path_len_m,rotations_used,wait_steps,expansions,openset_peak,hit_max_expansions,yaw_bins,max_step_cells,edge_samples,r_abs,r_high,r_low,grow,k_rel,v_max,max_rot_vel,success
0,basic_cross,3.139,22579.498,22582.677,80,50,40,0.2,0.2,1,0.800,40,7.800,7.200,2,3,200001,29596,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
1,basic_cross,2.829,22435.736,22438.578,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,1,1,200001,31028,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
2,basic_cross,2.810,23228.940,23231.788,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,1,1,200001,31524,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
3,basic_cross,2.841,23135.393,23138.248,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,0,1,200001,30972,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
4,basic_cross,2.756,23709.030,23711.800,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,30394,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
5,basic_cross,2.769,23372.942,23375.727,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,29599,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
6,basic_cross,2.638,22947.733,22950.383,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,29084,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
7,basic_cross,2.605,22424.333,22426.953,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,29949,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
8,basic_cross,2.418,10.894,13.325,80,50,40,0.2,0.2,1,0.800,37,7.200,7.200,0,0,97,201,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
9,basic_cross,2.357,33.924,36.293,80,50,40,0.2,0.2,1,0.800,33,6.400,6.400,0,0,297,473,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
10,basic_cross,2.239,76.422,78.673,80,50,40,0.2,0.2,1,0.800,29,5.600,5.600,0,0,637,901,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
11,basic_cross,2.225,112.636,114.872,80,50,40,0.2,0.2,1,0.800,25,4.800,4.800,0,0,965,1242,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
12,basic_cross,2.116,147.997,150.128,80,50,40,0.2,0.2,1,0.800,21,4.000,4.000,0,0,1140,1455,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
13,basic_cross,2.159,147.100,149.275,80,50,40,0.2,0.2,1,0.800,17,3.200,3.200,0,0,1215,1500,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
14,basic_cross,3.182,141.275,144.475,80,50,40,0.2,0.2,1,0.800,13,2.400,2.400,0,0,1064,1329,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
15,basic_cross,2.098,92.752,94.864,80,50,40,0.2,0.2,1,0.800,9,1.600,1.600,0,0,723,924,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
16,basic_cross,2.062,35.675,37.752,80,50,40,0.2,0.2,1,0.800,5,0.800,0.800,0,0,312,463,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
17,basic_cross,2.198,3.997,6.210,80,50,40,0.2,0.2,1,0.800,2,0.200,0.200,0,0,36,106,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
