obs_id,param,value
0,x0,35.0
0,y0,73.0
0,vx,0.0
0,vy,0.7
1,x0,45.0
1,y0,-23.0
1,vx,0.0
1,vy,-0.7

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,7.1000000000000005,14.700000000000001
0,3,0.7000000000000001,7.1000000000000005,15.12
0,6,1.3,7.1000000000000005,15.540000000000001
0,9,1.9000000000000001,7.1000000000000005,15.96
0,12,2.5,7.1000000000000005,16.380000000000003
0,15,3.1,7.1000000000000005,16.8
0,18,3.7,7.1000000000000005,17.22
0,21,4.3,7.1000000000000005,17.64
0,24,4.9,7.1000000000000005,18.06
0,27,5.5,7.1000000000000005,18.48
0,30,6.1000000000000005,7.1000000000000005,18.900000000000002
0,33,6.7,7.1000000000000005,19.32
0,36,7.300000000000001,7.1000000000000005,19.740000000000002
0,39,7.9,7.1000000000000005,20.16
1,0,0.1,9.1,-4.5
1,3,0.7000000000000001,9.1,-4.920000000000001
1,6,1.3,9.1,-5.34
1,9,1.9000000000000001,9.1,-5.760000000000001
1,12,2.5,9.1,-6.18
1,15,3.1,9.1,-6.6000000000000005
1,18,3.7,9.1,-7.0200000000000005
1,21,4.3,9.1,-7.440000000000001
1,24,4.9,9.1,-7.859999999999999
1,27,5.5,9.1,-8.28
1,30,6.1000000000000005,9.1,-8.700000000000001
1,33,6.7,9.1,-9.12
1,36,7.300000000000001,9.1,-9.540000000000001
1,39,7.9,9.1,-9.96
