iter,scenario,raster_ms,plan_ms,cycle_ms,W,H,T,RES_M,TIME_RES,num_obs,avg_obs_speed,path_nodes,path_time_s,path_len_m,rotations_used,wait_steps,expansions,openset_peak,hit_max_expansions,yaw_bins,max_step_cells,edge_samples,r_abs,r_high,r_low,grow,k_rel,v_max,max_rot_vel,success
0,bottleneck,5.623,22524.142,22529.804,80,50,40,0.2,0.2,2,0.700,40,7.800,7.800,0,0,200001,29605,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
1,bottleneck,5.371,22013.244,22018.627,80,50,40,0.2,0.2,2,0.700,40,7.800,7.800,0,0,200001,29557,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
2,bottleneck,5.193,21573.370,21578.575,80,50,40,0.2,0.2,2,0.700,40,7.800,7.800,0,0,200001,28822,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
3,bottleneck,5.157,21461.869,21467.039,80,50,40,0.2,0.2,2,0.700,40,7.800,7.800,0,0,200001,28210,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
4,bottleneck,5.081,21250.385,21255.479,80,50,40,0.2,0.2,2,0.700,40,7.800,7.800,0,0,200001,28230,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
5,bottleneck,4.922,21217.259,21222.193,80,50,40,0.2,0.2,2,0.700,40,7.800,7.800,0,0,200001,28598,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
6,bottleneck,4.670,21318.003,21322.686,80,50,40,0.2,0.2,2,0.700,40,7.800,7.800,0,0,200001,29306,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
7,bottleneck,4.435,21302.740,21307.188,80,50,40,0.2,0.2,2,0.700,40,7.800,7.800,0,0,200001,30119,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
8,bottleneck,4.392,10.684,15.089,80,50,40,0.2,0.2,2,0.700,37,7.200,7.200,0,0,97,201,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
9,bottleneck,4.245,33.527,37.784,80,50,40,0.2,0.2,2,0.700,33,6.400,6.400,0,0,297,473,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
10,bottleneck,4.312,69.831,74.156,80,50,40,0.2,0.2,2,0.700,29,5.600,5.600,0,0,637,901,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
11,bottleneck,4.652,106.686,111.353,80,50,40,0.2,0.2,2,0.700,25,4.800,4.800,0,0,965,1242,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
12,bottleneck,4.230,131.048,135.293,80,50,40,0.2,0.2,2,0.700,21,4.000,4.000,0,0,1140,1455,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
13,bottleneck,4.259,132.900,137.172,80,50,40,0.2,0.2,2,0.700,17,3.200,3.200,0,0,1215,1500,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
14,bottleneck,4.243,117.803,122.060,80,50,40,0.2,0.2,2,0.700,13,2.400,2.400,0,0,1064,1329,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
15,bottleneck,4.427,79.666,84.107,80,50,40,0.2,0.2,2,0.700,9,1.600,1.600,0,0,723,924,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
16,bottleneck,4.252,34.050,38.316,80,50,40,0.2,0.2,2,0.700,5,0.800,0.800,0,0,312,463,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
17,bottleneck,4.334,3.879,8.229,80,50,40,0.2,0.2,2,0.700,2,0.200,0.200,0,0,36,106,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
