obs_id,param,value
0,x0,69.0
0,y0,84.0
0,vx,0.8
0,vy,0.8

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,13.9,16.900000000000002
0,3,0.7000000000000001,14.380000000000003,17.380000000000003
0,6,1.3,14.86,17.86
0,9,1.9000000000000001,15.340000000000002,18.34
0,12,2.5,15.82,18.82
0,15,3.1,16.3,19.3
0,18,3.7,16.78,19.78
0,21,4.3,17.26,20.26
0,24,4.9,17.740000000000002,20.740000000000002
0,27,5.5,18.22,21.22
0,30,6.1000000000000005,18.7,21.700000000000003
0,33,6.7,19.180000000000003,22.180000000000003
0,36,7.300000000000001,19.66,22.66
0,39,7.9,20.14,23.14
