iter,scenario,raster_ms,plan_ms,cycle_ms,W,H,T,RES_M,TIME_RES,num_obs,avg_obs_speed,path_nodes,path_time_s,path_len_m,rotations_used,wait_steps,expansions,openset_peak,hit_max_expansions,yaw_bins,max_step_cells,edge_samples,r_abs,r_high,r_low,grow,k_rel,v_max,max_rot_vel,success
0,close_cross,3.139,21580.727,21583.911,80,50,40,0.2,0.2,1,1.131,40,7.800,6.400,2,7,200001,23398,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
1,close_cross,2.747,22185.193,22187.954,80,50,40,0.2,0.2,1,1.131,40,7.800,7.200,0,3,200001,28931,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
2,close_cross,2.561,22191.218,22193.791,80,50,40,0.2,0.2,1,1.131,40,7.800,7.800,0,0,200001,28568,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
3,close_cross,2.595,21431.759,21434.369,80,50,40,0.2,0.2,1,1.131,40,7.800,7.800,0,0,200001,27884,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
4,close_cross,2.390,21128.276,21130.680,80,50,40,0.2,0.2,1,1.131,40,7.800,7.800,0,0,200001,27940,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
5,close_cross,2.211,21015.162,21017.386,80,50,40,0.2,0.2,1,1.131,40,7.800,7.800,0,0,200001,27964,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
6,close_cross,2.218,21545.558,21547.789,80,50,40,0.2,0.2,1,1.131,40,7.800,7.800,0,0,200001,28223,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
7,close_cross,2.124,21658.248,21660.387,80,50,40,0.2,0.2,1,1.131,40,7.800,7.800,0,0,200001,28728,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
8,close_cross,1.972,21842.351,21844.335,80,50,40,0.2,0.2,1,1.131,40,7.800,7.800,0,0,200001,29515,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
9,close_cross,2.045,9.854,11.911,80,50,40,0.2,0.2,1,1.131,40,7.800,7.800,0,0,90,200,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
