iter,scenario,raster_ms,plan_ms,cycle_ms,W,H,T,RES_M,TIME_RES,num_obs,avg_obs_speed,path_nodes,path_time_s,path_len_m,rotations_used,wait_steps,expansions,openset_peak,hit_max_expansions,yaw_bins,max_step_cells,edge_samples,r_abs,r_high,r_low,grow,k_rel,v_max,max_rot_vel,success
0,head_on,1.944,14161.624,14163.617,80,50,40,0.2,0.2,1,0.900,29,5.600,5.400,0,1,200001,30273,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
1,head_on,1.898,14636.045,14637.966,80,50,40,0.2,0.2,1,0.900,25,4.800,4.600,0,1,200001,30491,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
2,head_on,1.899,15146.983,15148.923,80,50,40,0.2,0.2,1,0.900,28,5.400,4.800,1,3,200001,30184,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
3,head_on,1.846,15724.231,15726.102,80,50,40,0.2,0.2,1,0.900,40,7.800,6.200,8,8,200001,34188,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
4,head_on,1.927,15651.595,15653.545,80,50,40,0.2,0.2,1,0.900,40,7.800,7.400,2,2,200001,33901,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
5,head_on,1.874,14628.862,14630.764,80,50,40,0.2,0.2,1,0.900,40,7.800,7.600,1,1,200001,31982,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
6,head_on,1.878,13701.997,13703.904,80,50,40,0.2,0.2,1,0.900,40,7.800,7.000,2,4,200001,22722,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
7,head_on,1.837,13423.742,13425.602,80,50,40,0.2,0.2,1,0.900,40,7.800,7.400,2,2,200001,25085,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
8,head_on,1.890,13370.640,13372.553,80,50,40,0.2,0.2,1,0.900,40,7.800,7.800,0,0,200001,29003,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
9,head_on,1.733,13287.799,13290.480,80,50,40,0.2,0.2,1,0.900,40,7.800,7.800,0,0,200001,30900,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
0,head_on,1.834,14336.842,14338.728,80,50,40,0.2,0.2,1,0.900,29,5.600,5.400,0,1,200001,30273,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
1,head_on,1.761,14762.127,14763.904,80,50,40,0.2,0.2,1,0.900,25,4.800,4.600,0,1,200001,30491,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
2,head_on,1.669,15220.130,15221.813,80,50,40,0.2,0.2,1,0.900,28,5.400,4.800,1,3,200001,30184,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
3,head_on,1.752,15702.660,15704.431,80,50,40,0.2,0.2,1,0.900,40,7.800,6.200,8,8,200001,34188,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
4,head_on,1.700,15585.360,15587.079,80,50,40,0.2,0.2,1,0.900,40,7.800,7.400,2,2,200001,33901,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
5,head_on,1.765,14953.646,14955.429,80,50,40,0.2,0.2,1,0.900,40,7.800,7.600,1,1,200001,31982,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
6,head_on,1.700,14074.269,14075.984,80,50,40,0.2,0.2,1,0.900,40,7.800,7.000,2,4,200001,22722,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
7,head_on,1.651,13799.187,13800.857,80,50,40,0.2,0.2,1,0.900,40,7.800,7.400,2,2,200001,25085,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
8,head_on,1.666,13976.926,13978.614,80,50,40,0.2,0.2,1,0.900,40,7.800,7.800,0,0,200001,29003,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
9,head_on,1.595,14283.277,14284.893,80,50,40,0.2,0.2,1,0.900,40,7.800,7.800,0,0,200001,30900,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
