iter,scenario,raster_ms,plan_ms,cycle_ms,W,H,T,RES_M,TIME_RES,num_obs,avg_obs_speed,path_nodes,path_time_s,path_len_m,rotations_used,wait_steps,expansions,openset_peak,hit_max_expansions,yaw_bins,max_step_cells,edge_samples,r_abs,r_high,r_low,grow,k_rel,v_max,max_rot_vel,success
0,parallel,2.889,71.266,74.191,80,50,40,0.2,0.2,1,0.800,31,6.000,2.800,0,16,595,866,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
1,parallel,2.710,101.231,103.953,80,50,40,0.2,0.2,1,0.800,25,4.800,2.800,0,10,863,1148,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
2,parallel,2.716,127.575,130.304,80,50,40,0.2,0.2,1,0.800,19,3.600,2.800,0,4,1103,1401,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
3,parallel,2.827,107.080,109.921,80,50,40,0.2,0.2,1,0.800,13,2.400,2.000,0,2,918,1145,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
4,parallel,2.816,82.077,84.907,80,50,40,0.2,0.2,1,0.800,9,1.600,1.600,0,0,723,924,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
5,parallel,2.806,58.423,61.241,80,50,40,0.2,0.2,1,0.800,5,0.800,0.800,0,0,312,463,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
6,parallel,2.842,3.993,6.850,80,50,40,0.2,0.2,1,0.800,2,0.200,0.200,0,0,36,106,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
0,parallel,3.257,23465.066,23468.364,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,32701,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
1,parallel,2.762,23627.186,23629.961,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,33557,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
2,parallel,2.907,23900.589,23903.511,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,33526,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
3,parallel,2.695,24222.993,24225.700,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,33368,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
4,parallel,4.178,23968.331,23972.527,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,33291,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
5,parallel,2.697,23656.625,23659.337,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,33399,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
6,parallel,2.714,23729.472,23732.201,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,33636,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
7,parallel,2.829,23588.651,23591.493,80,50,40,0.2,0.2,1,0.800,40,7.800,7.800,0,0,200001,34175,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
8,parallel,2.737,6584.504,6587.253,80,50,40,0.2,0.2,1,0.800,37,7.200,7.200,0,0,53846,18678,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
9,parallel,2.654,6213.144,6215.812,80,50,40,0.2,0.2,1,0.800,33,6.400,6.400,0,0,50885,18015,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
10,parallel,2.647,5646.182,5648.843,80,50,40,0.2,0.2,1,0.800,29,5.600,5.600,0,0,46874,16981,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
11,parallel,2.771,2059.712,2062.496,80,50,40,0.2,0.2,1,0.800,39,7.600,4.800,0,14,16650,8562,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
12,parallel,2.804,299.674,302.491,80,50,40,0.2,0.2,1,0.800,39,7.600,4.800,0,14,2565,2721,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
13,parallel,2.539,96.466,99.018,80,50,40,0.2,0.2,1,0.800,36,7.000,4.200,0,14,817,1065,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
14,parallel,2.537,110.145,112.697,80,50,40,0.2,0.2,1,0.800,30,5.800,3.400,0,12,954,1259,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
