obs_id,param,value
0,x0,40.0
0,y0,13.0
0,vx,0.0
0,vy,0.8

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,8.1,2.7
0,3,0.7000000000000001,8.1,3.18
0,6,1.3,8.1,3.66
0,9,1.9000000000000001,8.1,4.14
0,12,2.5,8.1,4.62
0,15,3.1,8.1,5.1000000000000005
0,18,3.7,8.1,5.58
0,21,4.3,8.1,6.0600000000000005
0,24,4.9,8.1,6.540000000000001
0,27,5.5,8.1,7.0200000000000005
0,30,6.1000000000000005,8.1,7.5
0,33,6.7,8.1,7.980000000000001
0,36,7.300000000000001,8.1,8.459999999999999
0,39,7.9,8.1,8.940000000000001
