z_idx,time_s,x_m,y_m,yaw_bin
0,0.1,2.7,5.1000000000000005,0
1,0.30000000000000004,2.9000000000000004,5.1000000000000005,0
2,0.5,3.1,5.1000000000000005,0
3,0.7000000000000001,3.3000000000000003,5.1000000000000005,0
4,0.9,3.5,5.1000000000000005,0
5,1.1,3.7,5.1000000000000005,0
6,1.3,3.9000000000000004,5.1000000000000005,0
7,1.5,4.1000000000000005,5.1000000000000005,0
8,1.7000000000000002,4.3,5.1000000000000005,0
9,1.9000000000000001,4.5,5.1000000000000005,0
10,2.1,4.7,5.1000000000000005,0
11,2.3000000000000003,4.9,5.1000000000000005,0
12,2.5,5.1000000000000005,5.1000000000000005,0
13,2.7,5.300000000000001,5.1000000000000005,0
14,2.9000000000000004,5.5,5.1000000000000005,0
15,3.1,5.7,5.1000000000000005,0
16,3.3000000000000003,5.9,5.1000000000000005,0
17,3.5,6.1000000000000005,5.1000000000000005,0
18,3.7,6.300000000000001,5.1000000000000005,0
19,3.9000000000000004,6.300000000000001,5.1000000000000005,23
20,4.1000000000000005,6.5,5.1000000000000005,23
21,4.3,6.5,4.9,23
22,4.5,6.7,4.9,23
23,4.7,6.9,4.9,23
24,4.9,7.1000000000000005,4.9,23
25,5.1000000000000005,7.300000000000001,4.9,23
26,5.300000000000001,7.5,4.9,23
27,5.5,7.7,4.9,23
28,5.7,7.9,4.9,23
29,5.9,8.1,4.9,23
30,6.1000000000000005,8.3,4.9,23
31,6.300000000000001,8.5,4.9,23
32,6.5,8.700000000000001,4.9,23
33,6.7,8.9,4.9,23
34,6.9,9.1,4.9,23
35,7.1000000000000005,9.3,4.9,23
36,7.300000000000001,9.5,4.9,23
37,7.5,9.700000000000001,4.9,23
38,7.7,9.9,4.9,23
39,7.9,10.100000000000001,4.9,23
