z_idx,time_s,x_m,y_m,yaw_bin
0,0.1,4.9,5.1000000000000005,0
1,0.30000000000000004,4.9,5.1000000000000005,1
2,0.5,4.9,5.300000000000001,1
3,0.7000000000000001,4.9,5.5,1
4,0.9,4.9,5.7,1
5,1.1,4.9,5.9,1
6,1.3,4.9,6.1000000000000005,1
7,1.5,4.9,6.300000000000001,1
8,1.7000000000000002,4.9,6.5,1
9,1.9000000000000001,4.9,6.7,1
10,2.1,4.9,6.9,1
11,2.3000000000000003,5.1000000000000005,6.9,1
12,2.5,5.300000000000001,6.9,1
13,2.7,5.5,6.9,1
14,2.9000000000000004,5.7,6.9,1
15,3.1,5.9,6.9,1
16,3.3000000000000003,6.1000000000000005,6.9,1
17,3.5,6.300000000000001,6.9,1
18,3.7,6.5,6.9,1
19,3.9000000000000004,6.7,6.9,1
20,4.1000000000000005,6.9,6.9,1
21,4.3,7.1000000000000005,6.9,1
22,4.5,7.300000000000001,6.9,1
23,4.7,7.5,6.9,1
24,4.9,7.7,6.9,1
25,5.1000000000000005,7.9,6.9,1
26,5.300000000000001,8.1,6.9,1
27,5.5,8.3,6.9,1
28,5.7,8.5,6.9,1
29,5.9,8.700000000000001,6.9,1
30,6.1000000000000005,8.9,6.9,1
31,6.300000000000001,9.1,6.9,1
32,6.5,9.3,6.9,1
33,6.7,9.5,6.9,1
34,6.9,9.700000000000001,6.9,1
35,7.1000000000000005,9.9,6.9,1
36,7.300000000000001,10.100000000000001,6.9,1
37,7.5,10.3,6.9,1
38,7.7,10.5,6.9,1
39,7.9,10.700000000000001,6.9,1
