z_idx,time_s,x_m,y_m,yaw_bin
0,0.1,1.7000000000000002,1.7000000000000002,0
1,0.30000000000000004,1.7000000000000002,1.7000000000000002,1
2,0.5,1.7000000000000002,1.7000000000000002,2
3,0.7000000000000001,1.7000000000000002,1.7000000000000002,3
4,0.9,1.7000000000000002,1.7000000000000002,4
5,1.1,1.7000000000000002,1.7000000000000002,5
6,1.3,1.7000000000000002,1.7000000000000002,6
7,1.5,1.7000000000000002,1.9000000000000001,6
8,1.7000000000000002,1.7000000000000002,2.1,6
9,1.9000000000000001,1.7000000000000002,2.3000000000000003,6
10,2.1,1.7000000000000002,2.5,6
11,2.3000000000000003,1.7000000000000002,2.7,6
12,2.5,1.7000000000000002,2.9000000000000004,6
13,2.7,1.7000000000000002,3.1,6
14,2.9000000000000004,1.7000000000000002,3.3000000000000003,6
15,3.1,1.7000000000000002,3.5,6
16,3.3000000000000003,1.7000000000000002,3.7,6
17,3.5,1.7000000000000002,3.9000000000000004,6
18,3.7,1.7000000000000002,4.1000000000000005,6
19,3.9000000000000004,1.7000000000000002,4.3,6
20,4.1000000000000005,1.7000000000000002,4.5,6
21,4.3,1.7000000000000002,4.7,6
22,4.5,1.7000000000000002,4.9,6
23,4.7,1.7000000000000002,5.1000000000000005,6
24,4.9,1.7000000000000002,5.300000000000001,6
25,5.1000000000000005,1.7000000000000002,5.5,6
26,5.300000000000001,1.7000000000000002,5.7,6
27,5.5,1.7000000000000002,5.9,6
28,5.7,1.7000000000000002,6.1000000000000005,6
29,5.9,1.7000000000000002,6.300000000000001,6
30,6.1000000000000005,1.7000000000000002,6.5,6
31,6.300000000000001,1.7000000000000002,6.7,6
32,6.5,1.7000000000000002,6.9,6
33,6.7,1.7000000000000002,7.1000000000000005,6
34,6.9,1.7000000000000002,7.300000000000001,6
35,7.1000000000000005,1.7000000000000002,7.5,6
36,7.300000000000001,1.7000000000000002,7.7,6
37,7.5,1.7000000000000002,7.9,6
38,7.7,1.7000000000000002,8.1,6
39,7.9,1.7000000000000002,8.3,6
